Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Year,Month,Day,Hour,Day_of_Week,Is_Weekend,Avg_Number_of_Riders,Avg_Historical_Cost_of_Ride,Lag_Number_of_Riders,Lag_Historical_Cost_of_Ride
25,15,Rural,Gold,65,4.88,2024-10-21 18:00:00,Premium,101,502.5293207873477,2024,10,21,18,0,0,52.285714285714285,353.0203932013259,28.0,456.1809467866996
28,6,Suburban,Regular,2,4.29,2024-10-21 09:00:00,Economy,89,244.21766165291973,2024,10,21,9,0,0,45.57142857142857,344.447231340313,25.0,502.5293207873477
73,17,Rural,Regular,14,4.81,2024-10-21 18:00:00,Premium,170,634.7265312250814,2024,10,21,18,0,0,50.42857142857143,352.3050035621288,28.0,244.21766165291973
36,18,Urban,Silver,88,3.73,2024-10-21 21:00:00,Premium,92,345.40676830595487,2024,10,21,21,0,0,50.57142857142857,341.50860829013135,73.0,634.7265312250814
56,10,Urban,Silver,55,4.5,2024-10-21 21:00:00,Economy,45,151.15212964816465,2024,10,21,21,0,0,48.857142857142854,332.71400912065263,36.0,345.40676830595487
97,81,Suburban,Regular,52,4.56,2024-10-21 18:00:00,Economy,125,530.7599938912294,2024,10,21,18,0,0,49.0,334.0589848597501,56.0,151.15212964816465
63,9,Rural,Regular,89,3.87,2024-10-21 14:00:00,Premium,166,482.85016419959805,2024,10,21,14,0,0,54.0,340.27922780000597,97.0,530.7599938912294
78,33,Urban,Silver,35,4.46,2024-10-21 09:00:00,Premium,116,355.9595074862448,2024,10,21,9,0,0,61.57142857142857,341.24158255382287,63.0,482.85016419959805
29,10,Suburban,Regular,25,3.77,2024-10-21 14:00:00,Economy,91,303.9609626071891,2024,10,21,14,0,0,61.714285714285715,336.53571902659877,78.0,355.9595074862448
73,33,Suburban,Silver,60,3.88,2024-10-21 21:00:00,Premium,161,514.8771742414517,2024,10,21,21,0,0,61.714285714285715,345.54708577362567,29.0,303.9609626071891
94,29,Urban,Regular,67,3.59,2024-10-21 18:00:00,Premium,96,361.13235495172165,2024,10,21,18,0,0,70.0,356.00768731756244,73.0,514.8771742414517
54,28,Suburban,Silver,83,4.49,2024-10-21 21:00:00,Economy,32,80.26246462184758,2024,10,21,21,0,0,69.71428571428571,354.3561607079775,94.0,361.13235495172165
67,6,Rural,Gold,15,3.53,2024-10-21 21:00:00,Economy,123,420.6239113101238,2024,10,21,21,0,0,65.42857142857143,355.6120207409866,54.0,80.26246462184758
23,8,Urban,Silver,27,4.73,2024-10-21 14:00:00,Economy,117,520.8926706123274,2024,10,21,14,0,0,59.714285714285715,370.21601665531614,67.0,420.6239113101238
70,14,Urban,Silver,16,4.3,2024-10-21 09:00:00,Economy,53,183.07579104191225,2024,10,21,9,0,0,58.57142857142857,374.18283727154636,23.0,520.8926706123274
20,10,Rural,Silver,70,4.92,2024-10-21 18:00:00,Economy,65,190.13746358777752,2024,10,21,18,0,0,57.285714285714285,367.49846053017706,70.0,183.07579104191225
95,84,Suburban,Gold,18,3.86,2024-10-21 14:00:00,Premium,112,522.3021028701461,2024,10,21,14,0,0,60.42857142857143,377.83631312672344,20.0,190.13746358777752
43,16,Urban,Silver,40,4.89,2024-10-21 21:00:00,Premium,106,410.6863449474928,2024,10,21,21,0,0,53.142857142857146,383.6705868347894,95.0,522.3021028701461
97,55,Suburban,Silver,94,4.62,2024-10-21 18:00:00,Premium,150,584.9958711291002,2024,10,21,18,0,0,59.285714285714285,389.6185326039797,43.0,410.6863449474928
32,20,Rural,Silver,44,3.55,2024-10-21 21:00:00,Economy,68,301.62262644973293,2024,10,21,21,0,0,54.285714285714285,393.59013925031576,97.0,584.9958711291002
95,25,Suburban,Regular,72,4.16,2024-10-21 09:00:00,Premium,128,413.5870840445325,2024,10,21,9,0,0,64.57142857142857,385.6224654751308,32.0,301.62262644973293
47,15,Urban,Gold,14,4.84,2024-10-21 21:00:00,Economy,89,273.11810461931896,2024,10,21,21,0,0,61.285714285714285,381.2854990167942,95.0,413.5870840445325
25,11,Rural,Silver,33,3.85,2024-10-21 21:00:00,Economy,94,247.1745626508575,2024,10,21,21,0,0,62.0,371.5984891233945,47.0,273.11810461931896
37,22,Rural,Regular,76,4.72,2024-10-21 14:00:00,Economy,69,213.4432507972432,2024,10,21,14,0,0,53.714285714285715,369.17554906451306,25.0,247.1745626508575
59,39,Suburban,Gold,49,3.78,2024-10-21 09:00:00,Premium,98,295.79438015283176,2024,10,21,9,0,0,56.0,362.86687295841966,37.0,213.4432507972432
42,20,Urban,Silver,88,4.64,2024-10-21 21:00:00,Premium,29,145.0698091748401,2024,10,21,21,0,0,48.142857142857146,361.99966714704476,59.0,295.79438015283176
53,11,Rural,Regular,2,3.5,2024-10-21 14:00:00,Premium,81,297.0186264188845,2024,10,21,14,0,0,51.142857142857146,355.70433956994594,42.0,145.0698091748401
79,64,Rural,Regular,91,4.57,2024-10-21 21:00:00,Economy,164,666.6870291344428,2024,10,21,21,0,0,48.857142857142854,368.1028109918344,53.0,297.0186264188845
59,23,Urban,Gold,41,4.97,2024-10-21 18:00:00,Premium,91,449.5456339145253,2024,10,21,18,0,0,50.57142857142857,369.9930414420514,79.0,666.6870291344428
40,29,Urban,Regular,72,4.3,2024-10-21 14:00:00,Economy,147,624.9860100296204,2024,10,21,14,0,0,52.714285714285715,375.619876883482,59.0,449.5456339145253
76,40,Suburban,Silver,77,4.17,2024-10-21 09:00:00,Economy,28,96.03520851587072,2024,10,21,9,0,0,58.285714285714285,362.0700731410995,40.0,624.9860100296204
41,26,Urban,Regular,96,3.91,2024-10-21 21:00:00,Economy,169,637.7593915947267,2024,10,21,21,0,0,55.714285714285715,375.18813080582635,76.0,96.03520851587072
83,14,Urban,Regular,80,4.77,2024-10-21 21:00:00,Premium,64,295.5887110300315,2024,10,21,21,0,0,61.57142857142857,363.88353679932465,41.0,637.7593915947267
44,17,Rural,Regular,15,4.0,2024-10-21 18:00:00,Economy,98,353.33854512223814,2024,10,21,18,0,0,60.285714285714285,364.1479293598675,83.0,295.5887110300315
91,73,Urban,Gold,61,4.39,2024-10-21 21:00:00,Economy,15,62.25429041832141,2024,10,21,21,0,0,62.0,361.184668052206,44.0,353.33854512223814
54,16,Suburban,Regular,8,4.5,2024-10-21 14:00:00,Premium,67,266.0685899337195,2024,10,21,14,0,0,61.285714285714285,352.3616212536224,91.0,62.25429041832141
59,37,Rural,Silver,86,4.67,2024-10-21 21:00:00,Premium,95,340.1282671016029,2024,10,21,21,0,0,64.0,347.6042246836892,54.0,266.0685899337195
72,43,Suburban,Gold,28,4.87,2024-10-21 14:00:00,Economy,132,443.258155352454,2024,10,21,14,0,0,63.42857142857143,350.5141796125628,59.0,340.1282671016029
47,9,Rural,Gold,49,4.44,2024-10-21 18:00:00,Economy,96,265.05527443495566,2024,10,21,18,0,0,64.28571428571429,349.2173233401551,72.0,443.258155352454
32,22,Rural,Silver,49,4.65,2024-10-21 21:00:00,Economy,60,221.4343854791753,2024,10,21,21,0,0,57.0,339.4358970480792,47.0,265.05527443495566
45,13,Rural,Regular,96,4.84,2024-10-21 21:00:00,Economy,112,393.2308288248255,2024,10,21,21,0,0,57.142857142857146,340.50584617718266,32.0,221.4343854791753
72,45,Urban,Silver,82,4.42,2024-10-21 21:00:00,Premium,40,151.58040412487964,2024,10,21,21,0,0,54.42857142857143,342.8831108272837,45.0,393.2308288248255
56,15,Urban,Gold,34,4.72,2024-10-21 21:00:00,Premium,78,313.9950046053331,2024,10,21,21,0,0,54.714285714285715,339.32881393712404,72.0,151.58040412487964
42,22,Rural,Silver,67,3.81,2024-10-21 14:00:00,Premium,82,366.1515260551269,2024,10,21,14,0,0,52.285714285714285,334.1707757852173,56.0,313.9950046053331
52,14,Suburban,Silver,87,3.54,2024-10-21 14:00:00,Premium,98,425.97356882411634,2024,10,21,14,0,0,49.42857142857143,342.26736837795744,42.0,366.1515260551269
81,23,Urban,Gold,39,4.3,2024-10-21 18:00:00,Economy,143,359.0531279855558,2024,10,21,18,0,0,54.285714285714285,347.8978905245501,52.0,425.97356882411634
77,25,Rural,Regular,70,4.27,2024-10-21 14:00:00,Premium,52,260.34417984860374,2024,10,21,14,0,0,60.714285714285715,339.16595975716535,81.0,359.0531279855558
27,6,Urban,Gold,2,4.42,2024-10-21 21:00:00,Economy,86,320.30170917475425,2024,10,21,21,0,0,58.142857142857146,336.1531385647407,77.0,260.34417984860374
74,34,Rural,Regular,18,4.66,2024-10-21 09:00:00,Premium,140,454.49212153190336,2024,10,21,9,0,0,58.42857142857143,331.8030135781675,27.0,320.30170917475425
92,69,Urban,Silver,88,4.69,2024-10-21 14:00:00,Economy,18,45.11502370436019,2024,10,21,14,0,0,63.57142857142857,323.25276015332173,74.0,454.49212153190336
77,34,Rural,Gold,33,4.13,2024-10-21 21:00:00,Premium,48,223.6621142931812,2024,10,21,21,0,0,68.57142857142857,316.92192782827664,92.0,45.11502370436019
66,6,Rural,Regular,23,4.2,2024-10-21 18:00:00,Economy,45,173.1577542620492,2024,10,21,18,0,0,70.57142857142857,313.589916149701,77.0,223.6621142931812
77,39,Urban,Regular,23,4.29,2024-10-21 09:00:00,Economy,167,592.240499627505,2024,10,21,9,0,0,70.0,325.0921140489226,66.0,173.1577542620492
35,16,Urban,Regular,31,4.75,2024-10-21 14:00:00,Premium,113,379.3078104185831,2024,10,21,14,0,0,64.0,330.6209327029673,77.0,592.240499627505
48,38,Rural,Gold,40,3.7,2024-10-21 18:00:00,Premium,80,360.7111703191874,2024,10,21,18,0,0,67.0,332.78482570851247,35.0,379.3078104185831
61,18,Rural,Gold,84,3.93,2024-10-21 18:00:00,Premium,58,203.49261837786293,2024,10,21,18,0,0,65.14285714285714,334.73225268194653,48.0,360.7111703191874
71,21,Suburban,Silver,82,4.88,2024-10-21 14:00:00,Premium,126,553.5451307734787,2024,10,21,14,0,0,62.142857142857146,343.283136160433,61.0,203.49261837786293
95,7,Rural,Gold,40,4.68,2024-10-21 18:00:00,Economy,95,283.46644254307614,2024,10,21,18,0,0,64.71428571428571,330.50911660738745,71.0,553.5451307734787
76,44,Suburban,Gold,20,3.56,2024-10-21 14:00:00,Premium,105,435.14534513079855,2024,10,21,14,0,0,66.14285714285714,330.0291069812632,95.0,283.46644254307614
32,13,Suburban,Regular,21,4.64,2024-10-21 14:00:00,Economy,156,685.7681264991488,2024,10,21,14,0,0,59.714285714285715,332.05517753024753,76.0,435.14534513079855
49,30,Rural,Silver,57,4.83,2024-10-21 18:00:00,Economy,154,630.8608868741742,2024,10,21,18,0,0,61.714285714285715,349.8827001421909,32.0,685.7681264991488
38,17,Urban,Silver,92,4.41,2024-10-21 14:00:00,Premium,138,546.1568747653598,2024,10,21,14,0,0,60.285714285714285,346.82928291454544,49.0,630.8608868741742
92,35,Suburban,Regular,46,4.72,2024-10-21 09:00:00,Economy,45,115.35700254441711,2024,10,21,9,0,0,64.71428571428571,340.82155929835824,38.0,546.1568747653598
40,29,Suburban,Silver,26,4.26,2024-10-21 21:00:00,Economy,152,404.0498951423794,2024,10,21,21,0,0,60.285714285714285,342.51193763236296,92.0,115.35700254441711
55,42,Suburban,Silver,24,4.49,2024-10-21 14:00:00,Economy,45,156.03832988580584,2024,10,21,14,0,0,54.57142857142857,345.63807228127916,40.0,404.0498951423794
58,34,Rural,Gold,19,4.55,2024-10-21 09:00:00,Premium,131,501.26295506529306,2024,10,21,9,0,0,52.0,353.4778844523316,55.0,156.03832988580584
34,5,Urban,Regular,26,4.85,2024-10-21 18:00:00,Premium,152,562.4369764527329,2024,10,21,18,0,0,52.285714285714285,360.88817476403597,58.0,501.26295506529306
70,47,Suburban,Silver,3,3.66,2024-10-21 09:00:00,Premium,53,216.8024750869831,2024,10,21,9,0,0,55.285714285714285,353.3396520885202,34.0,562.4369764527329
51,24,Rural,Gold,25,4.68,2024-10-21 14:00:00,Premium,16,120.09069016935676,2024,10,21,14,0,0,57.142857142857146,348.5074992796669,70.0,216.8024750869831
88,56,Rural,Regular,11,4.36,2024-10-21 14:00:00,Economy,60,221.1576532597614,2024,10,21,14,0,0,56.57142857142857,348.49827487235314,51.0,120.09069016935676
25,8,Suburban,Silver,83,3.53,2024-10-21 18:00:00,Economy,121,492.7012709061221,2024,10,21,18,0,0,54.42857142857143,351.813956275063,88.0,221.1576532597614
34,19,Rural,Regular,51,4.2,2024-10-21 21:00:00,Premium,166,754.2344800100251,2024,10,21,21,0,0,51.42857142857143,371.90242547123455,25.0,492.7012709061221
40,15,Urban,Regular,90,3.62,2024-10-21 21:00:00,Premium,42,211.52772882563164,2024,10,21,21,0,0,48.857142857142854,368.48684961191117,34.0,754.2344800100251
26,7,Suburban,Gold,58,4.91,2024-10-21 14:00:00,Economy,161,460.75927538572495,2024,10,21,14,0,0,47.714285714285715,371.6404412562644,40.0,211.52772882563164
81,42,Suburban,Regular,88,4.14,2024-10-21 14:00:00,Economy,47,164.10747354764283,2024,10,21,14,0,0,49.285714285714285,362.9115714137153,26.0,460.75927538572495
80,56,Suburban,Gold,63,4.57,2024-10-21 21:00:00,Premium,43,213.6962129956236,2024,10,21,21,0,0,53.42857142857143,358.06634091405084,81.0,164.10747354764283
64,19,Rural,Gold,86,4.68,2024-10-21 21:00:00,Premium,171,732.9893961300692,2024,10,21,21,0,0,50.0,373.8211814567664,80.0,213.6962129956236
45,18,Rural,Gold,68,4.07,2024-10-21 09:00:00,Economy,136,350.6012026111729,2024,10,21,9,0,0,52.857142857142854,374.8311645713137,64.0,732.9893961300692
84,49,Urban,Regular,32,4.25,2024-10-21 21:00:00,Premium,53,192.8798062051633,2024,10,21,21,0,0,60.0,366.1107540604223,45.0,350.6012026111729
34,16,Urban,Silver,47,4.12,2024-10-21 18:00:00,Economy,93,294.11580585015537,2024,10,21,18,0,0,59.142857142857146,374.41078013194885,84.0,192.8798062051633
67,32,Suburban,Regular,40,4.47,2024-10-21 14:00:00,Premium,13,82.52418774801069,2024,10,21,14,0,0,65.0,369.70618258044317,34.0,294.11580585015537
93,23,Suburban,Silver,34,4.23,2024-10-21 18:00:00,Premium,125,386.169069413996,2024,10,21,18,0,0,66.71428571428571,376.8065597521747,67.0,82.52418774801069
100,51,Urban,Silver,56,3.58,2024-10-21 21:00:00,Economy,89,310.9003272621974,2024,10,21,21,0,0,69.57142857142857,367.4285540066645,93.0,386.169069413996
35,22,Suburban,Gold,15,4.23,2024-10-21 09:00:00,Premium,120,373.96284065200393,2024,10,21,9,0,0,65.42857142857143,367.2503883477785,100.0,310.9003272621974
36,13,Rural,Silver,31,4.71,2024-10-21 21:00:00,Economy,71,221.55110013131716,2024,10,21,21,0,0,64.14285714285714,362.6117193415161,35.0,373.96284065200393
28,18,Suburban,Regular,100,3.7,2024-10-21 14:00:00,Economy,127,531.1127009643968,2024,10,21,14,0,0,56.142857142857146,373.5323887610673,36.0,221.55110013131716
21,9,Urban,Gold,10,3.88,2024-10-21 09:00:00,Premium,108,324.9426389036563,2024,10,21,9,0,0,54.285714285714285,365.9123056987399,28.0,531.1127009643968
26,15,Urban,Regular,35,5.0,2024-10-21 09:00:00,Premium,161,493.4068923175674,2024,10,21,9,0,0,48.42857142857143,372.9103206912229,21.0,324.9426389036563
97,21,Suburban,Regular,59,3.87,2024-10-21 18:00:00,Premium,174,778.6333560141928,2024,10,21,18,0,0,49.0,384.35992105400265,26.0,493.4068923175674
26,15,Urban,Silver,10,3.71,2024-10-21 09:00:00,Premium,171,720.1572085631501,2024,10,21,9,0,0,38.42857142857143,385.5062237894694,97.0,778.6333560141928
91,56,Urban,Gold,17,4.66,2024-10-21 21:00:00,Economy,10,38.23523523879646,2024,10,21,21,0,0,46.42857142857143,365.7520354016235,26.0,720.1572085631501
65,48,Rural,Silver,12,4.37,2024-10-21 14:00:00,Premium,140,573.5891064527985,2024,10,21,14,0,0,50.57142857142857,366.66644312453815,91.0,38.23523523879646
88,28,Urban,Gold,22,4.99,2024-10-21 21:00:00,Premium,154,682.016246966075,2024,10,21,21,0,0,59.142857142857146,385.5550846052601,65.0,573.5891064527985
82,13,Suburban,Gold,32,3.58,2024-10-21 21:00:00,Economy,148,516.4367273015673,2024,10,21,21,0,0,67.85714285714286,389.30131234389967,88.0,682.016246966075
65,40,Urban,Silver,48,3.59,2024-10-21 18:00:00,Economy,121,492.5196024192815,2024,10,21,18,0,0,73.42857142857143,400.51735476168216,82.0,516.4367273015673
41,6,Urban,Silver,56,4.32,2024-10-21 21:00:00,Economy,11,49.234784001519046,2024,10,21,21,0,0,65.42857142857143,385.4497490595564,65.0,492.5196024192815
85,36,Rural,Silver,64,4.32,2024-10-21 18:00:00,Economy,152,506.6928860981053,2024,10,21,18,0,0,73.85714285714286,383.5916127144021,41.0,49.234784001519046
35,13,Rural,Silver,80,3.8,2024-10-21 14:00:00,Economy,93,304.3133394836575,2024,10,21,14,0,0,65.85714285714286,386.5086415276246,85.0,506.6928860981053
83,29,Urban,Silver,78,4.42,2024-10-21 14:00:00,Premium,23,111.179341237614,2024,10,21,14,0,0,68.42857142857143,386.2115965632332,35.0,304.3133394836575
91,31,Urban,Regular,12,4.39,2024-10-21 21:00:00,Economy,39,163.21458328772866,2024,10,21,21,0,0,68.85714285714286,384.2801608974987,83.0,111.179341237614
44,28,Rural,Regular,31,4.92,2024-10-21 21:00:00,Premium,132,402.856989480614,2024,10,21,21,0,0,63.42857142857143,381.2853515166485,91.0,163.21458328772866
96,12,Suburban,Gold,15,4.97,2024-10-21 21:00:00,Economy,90,289.2351908680133,2024,10,21,21,0,0,67.85714285714286,365.7853752119147,44.0,402.856989480614
77,46,Suburban,Regular,97,4.2,2024-10-21 14:00:00,Premium,25,150.53929481479082,2024,10,21,14,0,0,73.0,363.75242741155336,96.0,289.2351908680133
91,80,Rural,Gold,74,4.74,2024-10-21 21:00:00,Economy,46,194.93555934032696,2024,10,21,21,0,0,73.85714285714286,354.8916368767068,77.0,150.53929481479082
93,42,Rural,Silver,75,4.66,2024-10-21 09:00:00,Economy,160,674.6485035775572,2024,10,21,9,0,0,82.14285714285714,371.9096712110373,91.0,194.93555934032696
41,9,Rural,Silver,73,3.51,2024-10-21 09:00:00,Economy,150,551.5572340398235,2024,10,21,9,0,0,76.14285714285714,383.171705245844,93.0,674.6485035775572
61,44,Suburban,Regular,69,4.54,2024-10-21 14:00:00,Economy,52,132.2147645898824,2024,10,21,14,0,0,71.85714285714286,363.1458841945044,41.0,551.5572340398235
83,10,Urban,Gold,28,3.91,2024-10-21 14:00:00,Economy,23,70.11182411078714,2024,10,21,14,0,0,77.42857142857143,353.7962382444915,61.0,132.2147645898824
59,22,Rural,Regular,79,4.38,2024-10-21 09:00:00,Premium,93,346.2847096470098,2024,10,21,9,0,0,72.14285714285714,358.90973502588645,83.0,70.11182411078714
42,31,Suburban,Gold,62,4.95,2024-10-21 21:00:00,Premium,13,102.04473025177862,2024,10,21,21,0,0,67.14285714285714,352.50736583927386,59.0,346.2847096470098
81,16,Suburban,Regular,73,4.89,2024-10-21 21:00:00,Economy,125,494.1401793052489,2024,10,21,21,0,0,65.71428571428571,366.22789889118184,42.0,102.04473025177862
72,19,Rural,Gold,89,4.74,2024-10-21 09:00:00,Premium,45,183.658314681842,2024,10,21,9,0,0,62.714285714285715,359.47754040011,81.0,494.1401793052489
43,9,Rural,Silver,2,4.12,2024-10-21 09:00:00,Economy,126,436.5576476487414,2024,10,21,9,0,0,63.0,363.66611774632815,72.0,183.658314681842
74,33,Urban,Silver,82,4.13,2024-10-21 14:00:00,Economy,10,31.362081322241885,2024,10,21,14,0,0,64.85714285714286,352.2460924353361,43.0,436.5576476487414
68,45,Rural,Silver,65,4.19,2024-10-21 18:00:00,Economy,112,323.4791093139413,2024,10,21,18,0,0,62.714285714285715,355.64369274142354,74.0,31.362081322241885
36,13,Urban,Silver,84,4.88,2024-10-21 18:00:00,Premium,140,505.3840569466695,2024,10,21,18,0,0,59.42857142857143,354.7860712741659,68.0,323.4791093139413
51,5,Urban,Gold,0,4.59,2024-10-21 14:00:00,Premium,92,320.8576215627125,2024,10,21,14,0,0,60.714285714285715,354.6499040294678,36.0,505.3840569466695
63,23,Urban,Silver,48,4.09,2024-10-21 18:00:00,Economy,49,214.5660524456202,2024,10,21,18,0,0,58.142857142857146,345.3552093670696,51.0,320.8576215627125
96,29,Urban,Regular,84,3.65,2024-10-21 21:00:00,Economy,176,758.5015334295354,2024,10,21,21,0,0,61.57142857142857,344.68414861424765,63.0,214.5660524456202
94,59,Suburban,Regular,84,4.38,2024-10-21 09:00:00,Premium,175,665.7295341217325,2024,10,21,9,0,0,68.85714285714286,342.8698927995338,96.0,758.5015334295354
74,32,Suburban,Regular,2,4.7,2024-10-21 18:00:00,Premium,38,171.06636292972274,2024,10,21,18,0,0,68.85714285714286,347.297597055898,94.0,665.7295341217325
91,13,Rural,Silver,32,3.6,2024-10-21 09:00:00,Premium,160,647.3526381087524,2024,10,21,9,0,0,72.14285714285714,349.7563814444298,74.0,171.06636292972274
69,12,Suburban,Regular,42,4.34,2024-10-21 14:00:00,Premium,158,608.1282399929386,2024,10,21,14,0,0,76.85714285714286,347.2934478786585,91.0,647.3526381087524
51,20,Rural,Silver,57,3.68,2024-10-21 21:00:00,Economy,67,246.92292493661097,2024,10,21,21,0,0,76.85714285714286,338.3096544664933,69.0,608.1282399929386
